CPU,Cores,CPU BenchMark,Single-Thread BenchMark,TDP (W),Socket,Category
Intel Core i9-10900TE @ 1.80GHz,10,16251,2633,35,FCLGA1200,Mobile/Embedded
Intel Core i9-10900X @ 3.70GHz,10,22478,2678,165,FCLGA2066,Desktop
Intel Core i9-10910 @ 3.60GHz,10,21465,3162,125,FCLGA1200,Desktop
Intel Core i9-10920X @ 3.50GHz,12,26166,2714,165,FCLGA2066,Desktop
Intel Core i9-10940X @ 3.30GHz,14,27894,2664,165,FCLGA2066,Desktop
Intel Core i9-10980HK @ 2.40GHz,8,15425,2773,45,FCBGA1440,Laptop
Intel Core i9-10980XE @ 3.00GHz,18,32805,2651,165,FCLGA2066,Desktop
Intel Core i9-11900 @ 2.50GHz,8,22796,3405,65,FCLGA1200,Desktop
Intel Core i9-11900F @ 2.50GHz,8,22281,3408,65,FCLGA1200,Desktop
Intel Core i9-11900H @ 2.50GHz,8,20559,3130,45,FCBGA1787,Laptop
Intel Core i9-11900K @ 3.50GHz,8,25231,3516,125,FCLGA1200,Desktop
Intel Core i9-11900KB @ 3.30GHz,8,22929,3307,65,FCBGA1787,Desktop
Intel Core i9-11900KF @ 3.50GHz,8,25006,3538,125,FCLGA1200,Desktop
Intel Core i9-11900T @ 1.50GHz,8,18948,3316,35,FCLGA1200,Desktop
Intel Core i9-11950H @ 2.60GHz,8,21183,3172,45,FCBGA1787,Laptop
Intel Core i9-11980HK @ 2.60GHz,8,22762,3279,45,FCBGA1787,Laptop
Intel Core i9-12900,16,34292,4048,65,FCLGA1700,Desktop
Intel Core i9-12900E,16,26666,3515,65,FCLGA1700,Mobile/Embedded
Intel Core i9-12900F,16,36445,4034,65,FCLGA1700,Desktop
Intel Core i9-12900H,14,27958,3776,45,FCBGA1744,Laptop
Intel Core i9-12900HK,14,27346,3645,45,FCBGA1744,Laptop
Intel Core i9-12900HX,16,34054,3836,55,FCBGA1964,Laptop
Intel Core i9-12900K,16,41480,4163,241,FCLGA1700,Desktop
Intel Core i9-12900KF,16,41125,4162,241,FCLGA1700,Desktop
Intel Core i9-12900KS,16,44020,4345,150,LGA 1700,Desktop
Intel Core i9-12900T,16,30056,3819,35,FCLGA1700,Desktop
Intel Core i9-12900TE,16,35057,3926,35,FCLGA1700,Mobile/Embedded
Intel Core i9-12950HX,16,32343,3826,55,FCBGA1964,Laptop
Intel Core i9-13900,24,47064,4335,65,FCLGA1700,Desktop
Intel Core i9-13900E,24,34049,3592,65,FCLGA1700,Mobile/Embedded
Intel Core i9-13900F,24,51236,4425,65,FCLGA1700,Desktop
Intel Core i9-13900H,14,28746,3841,45,FCBGA1744,Laptop
Intel Core i9-13900HK,14,31590,3983,45,FCBGA1744,Laptop
Intel Core i9-13900HX,24,44133,4123,55,FCBGA1964,Laptop
Intel Core i9-13900K,24,59067,4621,125,FCLGA1700,Desktop
Intel Core i9-13900KF,24,58411,4614,125,FCLGA1700,Desktop
Intel Core i9-13900KS,24,61622,4749,150,FCLGA1700,Desktop
Intel Core i9-13900T,24,44179,4201,35,FCLGA1700,Desktop
Intel Core i9-13900TE,24,15819,2209,35,FCLGA1700,Mobile/Embedded
Intel Core i9-13905H,14,30155,3687,45,FCBGA1792,Laptop
Intel Core i9-13950HX,24,43525,4012,55,FCBGA1964,Laptop
Intel Core i9-13980HX,24,47232,4295,55,FCBGA1964,Laptop
Intel Core i9-14900,24,48044,4517,65,FCLGA1700,Desktop
Intel Core i9-14900F,24,47355,4495,65,FCLGA1700,Desktop
Intel Core i9-14900HX,24,45647,4298,55,FCBGA1964,Laptop
Intel Core i9-14900K,24,60247,4742,125,FCLGA1700,Desktop
Intel Core i9-14900KF,24,59486,4708,125,FCLGA1700,Desktop
Intel Core i9-14900KS,24,62464,4868,150,FCLGA1700,Desktop
Intel Core i9-14900T,24,39300,3806,35,FCLGA1700,Desktop
Intel Core i9-7900X @ 3.30GHz,10,21064,2553,140,FCLGA2066,Desktop
Intel Core i9-7920X @ 2.90GHz,12,23651,2507,140,FCLGA2066,Desktop
Intel Core i9-7940X @ 3.10GHz,14,26026,2487,165,FCLGA2066,Desktop
Intel Core i9-7960X @ 2.80GHz,16,28923,2498,165,FCLGA2066,Desktop
Intel Core i9-7980XE @ 2.60GHz,18,30086,2467,165,FCLGA2066,Desktop
Intel Core i9-8950HK @ 2.90GHz,6,10458,2432,45,FCBGA1440,Laptop
Intel Core i9-9820X @ 3.30GHz,10,20195,2457,165,FCLGA2066,Desktop
Intel Core i9-9880H @ 2.30GHz,8,13690,2489,45,FCBGA1440,Laptop
Intel Core i9-9900 @ 3.10GHz,8,16494,2833,65,FCLGA1151-2,Desktop
Intel Core i9-9900B @ 3.10GHz,8,16311,2630,65,FCLGA1151,Desktop
Intel Core i9-9900K @ 3.60GHz,8,18266,2929,95,FCLGA1151-2,Desktop
Intel Core i9-9900KF @ 3.60GHz,8,18267,2924,95,FCLGA1151-2,Desktop
Intel Core i9-9900KS @ 4.00GHz,8,19473,3036,127,FCLGA1151-2,Desktop
Intel Core i9-9900T @ 2.10GHz,8,13020,2463,35,FCLGA1151-2,Desktop
Intel Core i9-9900X @ 3.50GHz,10,21844,2560,165,FCLGA2066,Desktop
Intel Core i9-9920X @ 3.50GHz,12,25163,2639,165,FCLGA2066,Desktop
Intel Core i9-9940X @ 3.30GHz,14,27975,2628,165,FCLGA2066,Desktop
Intel Core i9-9960X @ 3.10GHz,16,30254,2595,165,FCLGA2066,Desktop
Intel Core i9-9980HK @ 2.40GHz,8,14114,2530,45,FCBGA1440,Laptop
Intel Core i9-9980XE @ 3.00GHz,18,31979,2560,165,FCLGA2066,Desktop
Intel Core i9-9990XE @ 4.00GHz,14,30162,2970,255,LGA2066,Desktop
Intel Core M-5Y10 @ 0.80GHz,2,1644,976,4.5,Unknown,Laptop
Intel Core M-5Y10a @ 0.80GHz,2,1905,993,4.5,FCBGA1234,Laptop
Intel Core M-5Y10c @ 0.80GHz,2,1887,1109,4.5,FCBGA1234,Laptop
Intel Core M-5Y31 @ 0.90GHz,2,1899,1241,4.5,FCBGA1234,Laptop
Intel Core M-5Y51 @ 1.10GHz,2,2010,1305,4.5,FCBGA1234,Laptop
Intel Core M-5Y70 @ 1.10GHz,2,1823,1081,4.5,BGA1234,Laptop
Intel Core M-5Y71 @ 1.20GHz,2,2032,1281,4.5,FCBGA1234,Laptop
Intel Core m3-6Y30 @ 0.90GHz,2,2165,1170,4.5,FCBGA1515,Laptop
Intel Core m3-7Y30 @ 1.00GHz,2,2585,1404,4.5,FCBGA1515,Laptop
Intel Core m3-7Y32 @ 1.10GHz,2,2733,1628,4.5,FCBGA1515,"Laptop, Mobile/Embedded"
Intel Core m3-8100Y @ 1.10GHz,2,2863,1705,5,FCBGA1515,"Laptop, Mobile/Embedded"
Intel Core m5-6Y54 @ 1.10GHz,2,2269,1296,7,FCBGA1515,"Laptop, Mobile/Embedded"
Intel Core m5-6Y57 @ 1.10GHz,2,2345,1332,7,FCBGA1515,"Laptop, Mobile/Embedded"
Intel Core m5-7Y54 @ 1.20GHz,2,1475,746,NA,Unknown,"Laptop, Mobile/Embedded"
Intel Core m7-6Y75 @ 1.20GHz,2,2329,1354,7,FCBGA1515,"Laptop, Mobile/Embedded"
Intel Core Solo T1300 @ 1.66GHz,1,210,518,27,PGA478,Laptop
Intel Core Solo T1350 @ 1.86GHz,1,194,413,31,Unknown,Laptop
Intel Core Solo T1400 @ 1.83GHz,1,253,525,27,PGA478,Laptop
Intel Core Solo U1300 @ 1.06GHz,1,127,340,6,PBGA479,Laptop
Intel Core Solo U1400 @ 1.20GHz,1,130,365,5.5,PBGA479,Laptop
Intel Core Solo U1500 @ 1.33GHz,1,164,375,5.5,Unknown,Laptop
Intel Core Ultra 5 125H,14,22318,3509,28,FCBGA2049,Laptop
Intel Core Ultra 5 125U,12,17561,3339,15,FCBGA2049,Laptop
Intel Core Ultra 5 134U,12,12058,3011,30,FCBGA2551,Laptop
Intel Core Ultra 5 135H,14,22930,3558,28,FCBGA2049,Laptop
Intel Core Ultra 5 135U,12,17637,3355,28,Unknown,Laptop
Intel Core Ultra 5 226V,8,19382,4140,17,FCBGA2833,"Laptop, Mobile/Embedded"
Intel Core Ultra 7 155H,16,24998,3523,28,Unknown,Laptop
Intel Core Ultra 7 155U,12,16835,3466,15,FCBGA2049,Laptop
Intel Core Ultra 7 164U,12,15106,3151,9,FCBGA2551,Laptop
Intel Core Ultra 7 165H,16,26365,3521,28,FCBGA2049,Laptop
Intel Core Ultra 7 165U,12,17582,3413,15,Unknown,Laptop
Intel Core Ultra 7 256V,8,21640,4065,17,FCBGA2833,Laptop
Intel Core Ultra 7 258V,8,19644,3925,17,FCBGA2833,Laptop
Intel Core Ultra 9 185H,16,29386,3705,45,FCBGA2049,Laptop
Intel Core Ultra 9 285K,24,60933,5055,125,Unknown,Desktop
Intel Core Ultra 9 288V,8,19288,4611,30,FCBGA2833,Laptop
Intel Core2 Duo E4300 @ 1.80GHz,2,593,662,65,LGA775,Desktop
Intel Core2 Duo E4400 @ 2.00GHz,2,710,781,65,LGA775,Desktop
Intel Core2 Duo E4500 @ 2.20GHz,2,739,813,65,LGA775,Desktop
Intel Core2 Duo E4600 @ 2.40GHz,2,870,927,65,LGA775,Desktop
Intel Core2 Duo E4700 @ 2.60GHz,2,908,990,65,LGA775,Desktop
Intel Core2 Duo E6300 @ 1.86GHz,2,634,690,65,"LGA775, PLGA775",Desktop
Intel Core2 Duo E6320 @ 1.86GHz,2,717,712,65,PLGA775,Desktop
Intel Core2 Duo E6400 @ 2.13GHz,2,780,825,65,LGA775,Desktop
Intel Core2 Duo E6420 @ 2.13GHz,2,760,785,65,PLGA775,Desktop
Intel Core2 Duo E6540 @ 2.33GHz,2,808,969,65,LGA775,Desktop
Intel Core2 Duo E6550 @ 2.33GHz,2,893,907,65,LGA775,Desktop
Intel Core2 Duo E6600 @ 2.40GHz,2,942,946,65,PLGA775,Desktop
Intel Core2 Duo E6700 @ 2.66GHz,2,990,1023,65,LGA775,Desktop
Intel Core2 Duo E6750 @ 2.66GHz,2,1012,1028,65,LGA775,Desktop
Intel Core2 Duo E6850 @ 3.00GHz,2,1130,1183,65,LGA775,Desktop
Intel Core2 Duo E7200 @ 2.53GHz,2,992,1056,65,LGA775,Desktop
Intel Core2 Duo E7300 @ 2.66GHz,2,942,1065,65,LGA775,Desktop
Intel Core2 Duo E7400 @ 2.80GHz,2,1027,1108,65,LGA775,Desktop
Intel Core2 Duo E7500 @ 2.93GHz,2,1139,1207,65,LGA775,Desktop
Intel Core2 Duo E7600 @ 3.06GHz,2,1151,1256,65,LGA775,Desktop
Intel Core2 Duo E8135 @ 2.40GHz,2,973,1028,NA,Unknown,Desktop
Intel Core2 Duo E8135 @ 2.66GHz,2,1112,1127,NA,Socket P,Laptop
Intel Core2 Duo E8200 @ 2.66GHz,2,1119,1143,65,LGA775,Desktop
Intel Core2 Duo E8235 @ 2.80GHz,2,1020,1112,NA,Socket P,Laptop
Intel Core2 Duo E8290 @ 2.83GHz,2,1408,1302,65,LGA775,Desktop
Intel Core2 Duo E8300 @ 2.83GHz,2,997,1075,65,LGA775,Desktop
Intel Core2 Duo E8335 @ 2.66GHz,2,1057,1157,NA,Socket P,Laptop
Intel Core2 Duo E8335 @ 2.93GHz,2,1002,1132,NA,Socket P,Laptop
Intel Core2 Duo E8400 @ 3.00GHz,2,1206,1237,65,LGA775,Desktop
Intel Core2 Duo E8435 @ 3.06GHz,2,1104,1223,NA,Socket P,Laptop
Intel Core2 Duo E8500 @ 3.16GHz,2,1272,1323,65,LGA775,Desktop
Intel Core2 Duo E8600 @ 3.33GHz,2,1377,1401,65,LGA775,Desktop
Intel Core2 Duo L7100 @ 1.20GHz,2,467,484,NA,BGA956,Laptop
Intel Core2 Duo L7300 @ 1.40GHz,2,536,551,17,BGA479,Laptop
Intel Core2 Duo L7400 @ 1.50GHz,2,516,555,17,BGA479,Laptop
Intel Core2 Duo L7500 @ 1.60GHz,2,657,664,17,BGA479,Laptop
Intel Core2 Duo L7700 @ 1.80GHz,2,607,748,17,Unknown,Laptop
Intel Core2 Duo L7800 @ 2.00GHz,2,680,622,NA,Unknown,Unknown
Intel Core2 Duo L9300 @ 1.60GHz,2,690,703,17,BGA956,Laptop
Intel Core2 Duo L9600 @ 2.13GHz,2,788,849,17,BGA956,Laptop
Intel Core2 Duo P7350 @ 2.00GHz,2,748,796,25,BGA479,Laptop
Intel Core2 Duo P7370 @ 2.00GHz,2,790,793,25,PGA478,Laptop
Intel Core2 Duo P7450 @ 2.13GHz,2,783,837,25,PGA478,Laptop
Intel Core2 Duo P7550 @ 2.26GHz,2,856,972,25,PGA478,Laptop
Intel Core2 Duo P7570 @ 2.26GHz,2,845,930,25,PGA478,Laptop
Intel Core2 Duo P8400 @ 2.26GHz,2,850,921,25,BGA479,Laptop
Intel Core2 Duo P8600 @ 2.40GHz,2,845,943,25,BGA479,Laptop
Intel Core2 Duo P8700 @ 2.53GHz,2,959,1021,25,BGA479,Laptop
Intel Core2 Duo P8800 @ 2.66GHz,2,937,1075,25,BGA479,Laptop
Intel Core2 Duo P9300 @ 2.26GHz,2,952,950,NA,Unknown,Laptop
Intel Core2 Duo P9500 @ 2.53GHz,2,993,1057,25,BGA479,Laptop
Intel Core2 Duo P9600 @ 2.53GHz,2,1040,1082,25,PGA478,Laptop
Intel Core2 Duo P9600 @ 2.66GHz,2,1088,1120,25,PGA478,Laptop
Intel Core2 Duo P9700 @ 2.80GHz,2,1149,1157,28,PGA478,Laptop
Intel Core2 Duo SL9400 @ 1.86GHz,2,759,786,17,BGA956,Laptop
Intel Core2 Duo SP9400 @ 2.40GHz,2,863,929,25,BGA956,Laptop
Intel Core2 Duo SU9400 @ 1.40GHz,2,503,583,10,BGA956,Laptop
Intel Core2 Duo T5200 @ 1.60GHz,2,470,592,34,Socket M,Laptop
Intel Core2 Duo T5250 @ 1.50GHz,2,549,567,35,PGA478,Laptop
Intel Core2 Duo T5270 @ 1.40GHz,2,427,535,35,PGA478,Laptop
Intel Core2 Duo T5300 @ 1.73GHz,2,530,533,34,PGA478,Laptop
Intel Core2 Duo T5450 @ 1.66GHz,2,583,592,35,PGA478,Laptop
Intel Core2 Duo T5470 @ 1.60GHz,2,590,636,35,PGA478,Laptop
Intel Core2 Duo T5500 @ 1.66GHz,2,548,608,34,PGA478,Laptop
Intel Core2 Duo T5550 @ 1.83GHz,2,642,682,35,PGA478,Laptop
Intel Core2 Duo T5600 @ 1.83GHz,2,658,678,34,PGA478,Laptop
Intel Core2 Duo T5670 @ 1.80GHz,2,587,664,35,Socket P,Laptop
Intel Core2 Duo T5750 @ 2.00GHz,2,697,743,35,Socket P,Laptop
Intel Core2 Duo T5800 @ 2.00GHz,2,628,725,35,PGA478,Laptop
Intel Core2 Duo T5850 @ 2.16GHz,2,687,787,NA,Socket P,Laptop
Intel Core2 Duo T5870 @ 2.00GHz,2,698,740,35,"PPGA478, Socket",Laptop
Intel Core2 Duo T5900 @ 2.20GHz,2,652,768,NA,Socket P,Laptop
Intel Core2 Duo T6400 @ 2.00GHz,2,729,797,35,PGA478,Laptop
Intel Core2 Duo T6500 @ 2.10GHz,2,747,836,35,PGA478,Laptop
Intel Core2 Duo T6570 @ 2.10GHz,2,762,844,35,PGA478,Laptop
Intel Core2 Duo T6600 @ 2.20GHz,2,793,860,35,PGA478,Laptop
Intel Core2 Duo T6670 @ 2.20GHz,2,818,881,35,PGA478,Laptop
Intel Core2 Duo T7100 @ 1.80GHz,2,604,688,35,BGA479,Laptop
Intel Core2 Duo T7200 @ 2.00GHz,2,738,743,34,"PBGA479, PPGA478",Laptop
Intel Core2 Duo T7250 @ 2.00GHz,2,708,771,35,BGA479,Laptop
Intel Core2 Duo T7300 @ 2.00GHz,2,678,762,35,BGA479,Laptop
Intel Core2 Duo T7400 @ 2.16GHz,2,761,757,34,BGA479,Laptop
Intel Core2 Duo T7500 @ 2.20GHz,2,828,863,35,BGA479,Laptop
Intel Core2 Duo T7600 @ 2.33GHz,2,824,874,34,"PBGA479, PPGA478",Laptop
Intel Core2 Duo T7700 @ 2.40GHz,2,949,969,35,BGA479,Laptop
[Dual CPU] Intel Core2 Duo T7700 @ 2.40GHz,2,3497,1603,35,BGA479,Laptop
Intel Core2 Duo T7800 @ 2.60GHz,2,921,918,35,BGA479,Laptop
Intel Core2 Duo T8100 @ 2.10GHz,2,768,832,35,BGA479,Laptop
Intel Core2 Duo T8300 @ 2.40GHz,2,896,970,35,BGA479,Laptop
Intel Core2 Duo T9300 @ 2.50GHz,2,979,1025,35,BGA479,Laptop
Intel Core2 Duo T9400 @ 2.53GHz,2,1009,1046,35,BGA479,Laptop
Intel Core2 Duo T9500 @ 2.60GHz,2,1046,1074,35,BGA479,Laptop
Intel Core2 Duo T9550 @ 2.66GHz,2,972,1068,35,BGA479,Laptop
Intel Core2 Duo T9600 @ 2.80GHz,2,1076,1121,35,BGA479,Laptop
Intel Core2 Duo T9800 @ 2.93GHz,2,1216,1236,35,BGA479,Laptop
Intel Core2 Duo T9900 @ 3.06GHz,2,1187,1183,35,"BGA479,PGA478",Laptop
Intel Core2 Duo U7300 @ 1.30GHz,2,522,531,10,BGA956,Laptop
Intel Core2 Duo U7500 @ 1.06GHz,2,392,393,10,BGA479,Laptop
Intel Core2 Duo U7600 @ 1.20GHz,2,347,429,10,BGA479,Laptop
Intel Core2 Duo U7700 @ 1.33GHz,2,429,442,10,Unknown,Laptop
Intel Core2 Duo U9300 @ 1.20GHz,2,440,502,10,BGA956,Laptop
Intel Core2 Duo U9600 @ 1.60GHz,2,577,659,10,BGA956,Laptop
Intel Core2 Extreme Q6800 @ 2.93GHz,4,2145,1124,75,LGA775,Desktop
Intel Core2 Extreme Q6850 @ 3.00GHz,4,2304,1231,130,LGA775,Desktop
Intel Core2 Extreme Q9200 @ 2.40GHz,4,2011,1080,NA,Unknown,Desktop
Intel Core2 Extreme Q9300 @ 2.53GHz,4,1966,1081,45,PGA478,Desktop
Intel Core2 Extreme X6800 @ 2.93GHz,2,1095,1107,75,PLGA775,Desktop
Intel Core2 Extreme X7800 @ 2.60GHz,2,1138,1077,44,PGA478,Laptop
Intel Core2 Extreme X7900 @ 2.80GHz,2,1104,1085,44,PGA478,Laptop
Intel Core2 Extreme X9000 @ 2.80GHz,2,1099,1098,44,PGA478,Laptop
Intel Core2 Extreme X9100 @ 3.06GHz,2,1171,1178,44,PGA478,Laptop
Intel Core2 Extreme X9650 @ 3.00GHz,4,2404,1258,130,LGA775,Desktop
Intel Core2 Extreme X9750 @ 3.16GHz,4,2348,1352,NA,Unknown,Desktop
Intel Core2 Extreme X9770 @ 3.20GHz,4,2689,1395,136,LGA775,Desktop
Intel Core2 Extreme X9775 @ 3.20GHz,4,2780,1451,150,LGA771,Desktop
Intel Core2 Quad Q6600 @ 2.40GHz,4,1818,951,105,LGA775,Desktop
Intel Core2 Quad Q6700 @ 2.66GHz,4,2093,1077,105,LGA775,Desktop
Intel Core2 Quad Q8200 @ 2.33GHz,4,1782,998,95,LGA775,Desktop
Intel Core2 Quad Q8300 @ 2.50GHz,4,1892,1060,95,LGA775,Desktop
Intel Core2 Quad Q8400 @ 2.66GHz,4,2063,1142,95,LGA775,Desktop
Intel Core2 Quad Q9000 @ 2.00GHz,4,1575,881,45,PGA478,Laptop
Intel Core2 Quad Q9100 @ 2.26GHz,4,1915,986,45,PGA478,Laptop
Intel Core2 Quad Q9300 @ 2.50GHz,4,1984,1081,95,LGA775,Desktop
Intel Core2 Quad Q9400 @ 2.66GHz,4,2132,1137,95,LGA775,Desktop
Intel Core2 Quad Q9450 @ 2.66GHz,4,2186,1128,95,LGA775,Desktop
Intel Core2 Quad Q9500 @ 2.83GHz,4,2224,1215,95,LGA775,Desktop
Intel Core2 Quad Q9505 @ 2.83GHz,4,2156,1185,95,LGA775,Desktop
Intel Core2 Quad Q9550 @ 2.83GHz,4,2350,1221,95,LGA775,Desktop
Intel Core2 Quad Q9650 @ 3.00GHz,4,2471,1283,95,LGA775,Desktop
Intel Core2 Solo U2100 @ 1.06GHz,1,233,258,5.5,Unknown,Laptop
Intel Core2 Solo U3500 @ 1.40GHz,1,252,546,5.5,BGA956,Laptop
Intel CoreT i5-1350P,12,19976,3636,28,FCBGA1744,Mobile/Embedded
Intel N100,4,5512,1946,6,FCBGA1264,Mobile/Embedded
Intel N200,4,5155,1919,6,FCBGA1264,Mobile/Embedded
Intel N50,2,2907,1790,6,FCBGA1264,Mobile/Embedded
Intel N95,4,5356,1927,15,Unknown,"Laptop, Mobile/Embedded"
Intel N97,4,5769,2020,12,FCBGA1264,Mobile/Embedded
Intel Pentium 1403 @ 2.60GHz,2,1851,990,80,LGA1356,Server
Intel Pentium 1403 v2 @ 2.60GHz,2,2284,1391,80,Unknown,Server
Intel Pentium 2020M @ 2.40GHz,2,1379,1268,35,FCPGA988,Laptop
Intel Pentium 2030M @ 2.50GHz,2,1413,1222,35,FCPGA988,Laptop
Intel Pentium 2117U @ 1.80GHz,2,1021,930,17,FCBGA1023,Laptop
Intel Pentium 2127U @ 1.90GHz,2,1064,969,17,FCBGA1023,Laptop
Intel Pentium 2129Y @ 1.10GHz,2,587,564,10,FCBGA1023,Laptop
Intel Pentium 3550M @ 2.30GHz,2,1330,1184,37,FCPGA946,Laptop
Intel Pentium 3556U @ 1.70GHz,2,1061,952,15,BGA1168,Laptop
Intel Pentium 3558U @ 1.70GHz,2,1036,946,15,FCBGA1168,Laptop
Intel Pentium 3560M @ 2.40GHz,2,1345,1221,37,FCPGA946,Laptop
Intel Pentium 3560Y @ 1.20GHz,2,887,677,11.5,BGA1168,Laptop
Intel Pentium 3805U @ 1.90GHz,2,1180,1099,15,FCBGA1168,Laptop
Intel Pentium 3825U @ 1.90GHz,2,1399,1103,15,FCBGA1168,Laptop
Intel Pentium 4 1.50GHz,1,86,228,57.8,PGA423,Desktop
Intel Pentium 4 1.60GHz,1,84,225,38,PGA478,Desktop
Intel Pentium 4 1.70GHz,1,86,254,64,PGA423,Desktop
Intel Pentium 4 1.80GHz,1,115,318,68.1,PGA478,Desktop
Intel Pentium 4 1.90GHz,1,104,292,69.2,PGA423,Desktop
Intel Pentium 4 1300MHz,1,77,203,51.6,PGA423,Desktop
Intel Pentium 4 1400MHz,1,83,180,54.7,PGA423,Desktop
Intel Pentium 4 1500MHz,1,81,223,57.8,PGA423,Desktop
Intel Pentium 4 1700MHz,1,100,266,64,PGA423,Desktop
Intel Pentium 4 1800MHz,1,114,317,68.1,PGA478,Desktop
Intel Pentium 4 2.00GHz,1,133,349,54.3,PGA478,Desktop
Intel Pentium 4 2.20GHz,1,157,379,57.1,PGA478,Desktop
Intel Pentium 4 2.26GHz,1,151,409,58,PGA478,Desktop
Intel Pentium 4 2.40GHz,1,131,360,59.8,PGA478,Desktop
Intel Pentium 4 2.50GHz,1,160,385,61,PGA478,Desktop
Intel Pentium 4 2.53GHz,1,162,442,61.5,PGA478,Desktop
Intel Pentium 4 2.60GHz,1,215,494,69,PGA478,Desktop
Intel Pentium 4 2.66GHz,1,157,431,66.1,PGA478,Desktop
Intel Pentium 4 2.80GHz,1,237,509,69.7,PGA478,Desktop
Intel Pentium 4 2.93GHz,1,150,269,NA,Unknown,Desktop
Intel Pentium 4 3.00GHz,1,317,537,81.9,PGA478,Desktop
Intel Pentium 4 3.06GHz,1,249,551,81.8,PGA478,Desktop
Intel Pentium 4 3.20GHz,1,330,547,82,PGA478,Desktop
Intel Pentium 4 3.40GHz,1,298,649,89,PGA478,Desktop
Intel Pentium 4 3.46GHz,1,295,512,110.7,Unknown,Desktop
Intel Pentium 4 3.60GHz,1,315,447,115,Unknown,Desktop
Intel Pentium 4 3.73GHz,1,385,572,115,Unknown,Desktop
Intel Pentium 4 3.80GHz,1,358,671,65,Unknown,Desktop
Intel Pentium 4 3.83GHz,1,154,237,NA,Unknown,Desktop
Intel Pentium 4 Mobile 1.60GHz,1,116,254,NA,Unknown,Laptop
Intel Pentium 4 Mobile 1.80GHz,1,114,195,NA,Unknown,Laptop
Intel Pentium 4 Mobile 1.90GHz,1,136,282,NA,Unknown,Laptop
Intel Pentium 4 Mobile 2.00GHz,1,132,310,NA,Unknown,Laptop
Intel Pentium 4405U @ 2.10GHz,2,2107,1196,15,FCBGA1356,Laptop
Intel Pentium 4405Y @ 1.50GHz,2,1526,886,6,FCBGA1515,Laptop
Intel Pentium 4410Y @ 1.50GHz,2,1384,755,6,FCBGA1515,Laptop
Intel Pentium 4415U @ 2.30GHz,2,2232,1280,15,BGA1356,Laptop
Intel Pentium 4415Y @ 1.60GHz,2,1581,863,6,FCBGA1515,Laptop
Intel Pentium 4417U @ 2.30GHz,2,2248,1298,15,FCBGA1356,Laptop
Intel Pentium 4425Y @ 1.70GHz,2,1704,958,6,FCBGA1515,Laptop
Intel Pentium 5405U @ 2.30GHz,2,2259,1310,15,FCBGA1528,Laptop
Intel Pentium 6405U @ 2.40GHz,2,2356,1378,15,FCBGA1528,Laptop
Intel Pentium 6805 @ 1.10GHz,2,4424,1834,15,FCBGA1526,Laptop
Intel Pentium 957 @ 1.20GHz,2,622,574,17,FCBGA1023,Laptop
Intel Pentium 967 @ 1.30GHz,2,643,616,17,FCBGA1023,Laptop
Intel Pentium 987 @ 1.50GHz,2,657,625,17,FCBGA1023,Laptop
Intel Pentium 997 @ 1.60GHz,2,809,746,17,BGA-1023,Desktop
Intel Pentium A1018 @ 2.10GHz,2,1210,1085,35,FCPGA988,Laptop
Intel Pentium A1020 @ 2.41GHz,4,1249,726,10,FCBGA1170,Laptop
Intel Pentium B940 @ 2.00GHz,2,861,854,35,PGA988,Laptop
Intel Pentium B950 @ 2.10GHz,2,995,937,35,PGA988,Laptop
Intel Pentium B960 @ 2.20GHz,2,983,970,35,PGA988,Laptop
Intel Pentium B970 @ 2.30GHz,2,1088,1031,35,PGA988,Laptop
Intel Pentium B980 @ 2.40GHz,2,1087,1048,35,FCPGA988,Laptop
Intel Pentium D 3.40GHz,2,736,723,NA,Unknown,Desktop
Intel Pentium D 805 @ 2.66GHz,2,374,497,95,PLGA775,Desktop
Intel Pentium D 830 @ 3.00GHz,2,564,574,95,PLGA775,Desktop
Intel Pentium D 915 @ 2.80GHz,2,465,532,95,PLGA775,Desktop
Intel Pentium D 940 @ 3.20GHz,2,552,609,130,PLGA775,Desktop
Intel Pentium D 950 @ 3.40GHz,2,681,695,130,PLGA775,Desktop
Intel Pentium D 960 @ 3.60GHz,2,807,782,130,PLGA775,Desktop
Intel Pentium D1508 @ 2.20GHz,2,3240,1760,25,FCBGA1667,Server
Intel Pentium Dual T2390 @ 1.86GHz,2,745,712,35,PPGA478,Laptop
Intel Pentium E2140 @ 1.60GHz,2,539,599,65,"LGA775, PLGA775",Desktop
Intel Pentium E2160 @ 1.80GHz,2,645,680,65,LGA775,Desktop
Intel Pentium E2180 @ 2.00GHz,2,683,736,65,LGA775,Desktop
Intel Pentium E2200 @ 2.20GHz,2,730,819,65,LGA775,Desktop
Intel Pentium E2210 @ 2.20GHz,2,702,946,65,LGA775,Desktop
Intel Pentium E2220 @ 2.40GHz,2,842,915,65,LGA775,Desktop
Intel Pentium E5200 @ 2.50GHz,2,931,1002,65,LGA775,Desktop
Intel Pentium E5300 @ 2.60GHz,2,902,1014,65,LGA775,Desktop
Intel Pentium E5400 @ 2.70GHz,2,975,1081,65,LGA775,Desktop
Intel Pentium E5500 @ 2.80GHz,2,1037,1133,65,LGA775,Desktop
Intel Pentium E5700 @ 3.00GHz,2,1084,1197,65,LGA775,Desktop
Intel Pentium E5800 @ 3.20GHz,2,1164,1271,65,LGA775,Desktop
Intel Pentium E6300 @ 2.80GHz,2,1032,1143,65,LGA775,Desktop
